### 01100	Metabolic pathways
sacce:4439	K11204
sacce:3398	K00463
sacce:2162	K10807
sacce:1870	K00382
sacce:4302	K03801
sacce:3947	K04486
sacce:1331	K15428
sacce:2460	K00021
sacce:493	K13524
sacce:2638	K00797
sacce:2587	K01663
sacce:8	K11121
sacce:930	K01858
sacce:5911	K03783
sacce:3984	K00963
sacce:1242	K19801
sacce:349	K00914
sacce:6188	K03021
sacce:5323	K00605
sacce:6538	K05290
sacce:4244	K01956
sacce:4171	K00939
sacce:1392	K02267
sacce:4309	K00618
sacce:6165	K00232
sacce:1104	K02685
sacce:2832	K00948
sacce:4920	K05546
sacce:1235	K09829
sacce:2381	K01061
sacce:5074	K03860
sacce:6042	K01641
sacce:6049	K00868
sacce:4501	K01758
sacce:4489	K00844
sacce:858	K06210
sacce:4940	K02155
sacce:3932	K00866
sacce:186	K09458
sacce:1640	K03020
sacce:5440	K00953
sacce:330	K00793
sacce:751	K01899
sacce:5636	K00297
sacce:4606	K01581
sacce:1073	K00759
sacce:1159	K00602
sacce:6199	K01182
sacce:57	K02264
sacce:5210	K02263
sacce:6127	K05291
sacce:772	K00700
sacce:66	K00850
sacce:3396	K01424
sacce:138	K00791
sacce:4269	K01077
sacce:2286	K00728
sacce:5214	K03857
sacce:5065	K01679
sacce:153	K11262
sacce:3132	K03848
sacce:1827	K03508
sacce:991	K18278
sacce:2268	K00762
sacce:2361	K01178
sacce:1094	K00789
sacce:2531	K02152
sacce:1031	K14654
sacce:1470	K01001
sacce:290	K03846
sacce:5568	K00133
sacce:5879	K03024
sacce:3468	K01078
sacce:4290	K05605
sacce:3404	K00627
sacce:389	K01649
sacce:1244	K01046
sacce:846	K00681
sacce:6446	K02434
sacce:6468	K00876
sacce:1336	K05531
sacce:2534	K01897
sacce:1891	K00234
sacce:3571	K03841
sacce:2697	K00927
sacce:6471	K02125
sacce:6590	K02999
sacce:5079	K03504
sacce:495	K00600
sacce:573	K06134
sacce:6469	K00963
sacce:1770	K03800
sacce:5400	K03018
sacce:4312	K11541
sacce:2864	K00994
sacce:3896	K01835
sacce:4805	K00915
sacce:3177	K01736
sacce:1409	K00161
sacce:2080	K02261
sacce:2135	K05821
sacce:3921	K02143
sacce:4836	K11262
sacce:76	K03506
sacce:872	K02256
sacce:5611	K00940
sacce:4425	K00031
sacce:3839	K00002
sacce:3935	K00281
sacce:268	K02684
sacce:5747	K00414
sacce:3913	K09658
sacce:3796	K03859
sacce:4568	K00412
sacce:4052	K00211
sacce:2870	K01689
sacce:4996	K01487
sacce:2575	K00559
sacce:6383	K03016
sacce:3990	K00591
sacce:976	K03009
sacce:4676	K00794
sacce:3321	K02258
sacce:1228	K00382
sacce:5963	K00417
sacce:2769	K01738
sacce:2947	K00134
sacce:6470	K08738
sacce:6352	K01647
sacce:3389	K04518
sacce:346	K14264
sacce:1877	K00877
sacce:698	K00031
sacce:6203	K01568
sacce:5849	K00052
sacce:3024	K00864
sacce:1683	K05529
sacce:6582	K00135
sacce:5135	K03850
sacce:5004	K01477
sacce:3963	K01568
sacce:2041	K01182
sacce:565	K07750
sacce:70	K00928
sacce:609	K00222
sacce:4238	K01953
sacce:6610	K00789
sacce:3900	K01930
sacce:1543	K18278
sacce:6040	K01885
sacce:38	K01520
sacce:5462	K11808
sacce:6535	K00766
sacce:1051	K14455
sacce:1742	K02126
sacce:1102	K00943
sacce:5038	K18532
sacce:4102	K06210
sacce:5211	K03955
sacce:6118	K00550
sacce:5328	K01803
sacce:770	K00036
sacce:6371	K02266
sacce:943	K02262
sacce:1167	K00658
sacce:6387	K12351
sacce:3747	K01687
sacce:5716	K01934
sacce:795	K00938
sacce:5959	K01754
sacce:2848	K01895
sacce:5433	K00667
sacce:1425	K02128
sacce:5438	K03844
sacce:3712	K00419
sacce:3554	K00058
sacce:5989	K01823
sacce:5335	K19786
sacce:3372	K01897
sacce:2954	K01733
sacce:1182	K00121
sacce:1922	K16066
sacce:6694	K05857
sacce:263	K00831
sacce:724	K00948
sacce:1144	K01599
sacce:4740	K02259
sacce:906	K01930
sacce:2672	K03434
sacce:3832	K02150
sacce:2550	K01495
sacce:2853	K12669
sacce:1748	K00966
sacce:4054	K01694
sacce:19	K01078
sacce:6323	K12659
sacce:5557	K01923
sacce:126	K14154
sacce:5231	K00995
sacce:2297	K00128
sacce:5118	K01951
sacce:1905	K01755
sacce:5347	K03009
sacce:6138	K05848
sacce:4401	K01918
sacce:1342	K05283
sacce:5714	K03849
sacce:172	K05351
sacce:2763	K00129
sacce:5376	K00645
sacce:359	K03001
sacce:5856	K00942
sacce:783	K00026
sacce:6096	K00728
sacce:1898	K01885
sacce:2974	K00729
sacce:5398	K02325
sacce:4958	K13953
sacce:4277	K12666
sacce:3485	K03027
sacce:3254	K02139
sacce:2844	K00549
sacce:237	K01194
sacce:2960	K03002
sacce:276	K03004
sacce:2946	K00486
sacce:6490	K00452
sacce:2742	K01488
sacce:103	K00643
sacce:997	K00877
sacce:829	K03008
sacce:5882	K01094
sacce:5540	K01834
sacce:1596	K01900
sacce:6599	K02201
sacce:1360	K03015
sacce:4480	K02154
sacce:2808	K01953
sacce:2591	K10808
sacce:1582	K15634
sacce:6622	K01634
sacce:4945	K00819
sacce:1865	K01935
sacce:2668	K00948
sacce:1769	K01598
sacce:3853	K01489
sacce:6326	K01611
sacce:2930	K13830
sacce:2577	K14674
sacce:1458	K01254
sacce:3145	K00293
sacce:3351	K06126
sacce:3800	K06127
sacce:4863	K02147
sacce:615	K00838
sacce:4084	K00227
sacce:6095	K00237
sacce:5602	K08744
sacce:704	K00730
sacce:1103	K00002
sacce:1183	K00849
sacce:4788	K00830
sacce:4100	K00420
sacce:730	K07151
sacce:5276	K05528
sacce:2794	K05289
sacce:5445	K01637
sacce:6584	K08963
sacce:4134	K02260
sacce:743	K05293
sacce:3674	K01942
sacce:2915	K01920
sacce:1690	K00318
sacce:3379	K03017
sacce:6044	K00693
sacce:1095	K01440
sacce:1438	K02136
sacce:5861	K00968
sacce:5827	K00234
sacce:338	K01568
sacce:5240	K14394
sacce:1841	K00226
sacce:3999	K02350
sacce:896	K00801
sacce:2199	K02152
sacce:5155	K01649
sacce:4353	K00826
sacce:742	K11121
sacce:1574	K02151
sacce:1938	K00931
sacce:5235	K01719
sacce:2767	K00721
sacce:3239	K01556
sacce:2686	K03010
sacce:3258	K00851
sacce:3311	K00826
sacce:774	K03006
sacce:5337	K18097
sacce:2259	K00965
sacce:719	K00814
sacce:3728	K04709
sacce:1154	K03007
sacce:3472	K05535
sacce:3566	K13800
sacce:6583	K13507
sacce:1929	K01620
sacce:1549	K17900
sacce:3127	K00894
sacce:4551	K02138
sacce:807	K02437
sacce:350	K01485
sacce:4894	K00889
sacce:2982	K01228
sacce:1327	K01814
sacce:5908	K02858
sacce:6008	K15728
sacce:456	K00122
sacce:934	K00275
sacce:1107	K00615
sacce:3236	K00381
sacce:5191	K00101
sacce:2017	K14675
sacce:1595	K01568
sacce:2058	K05537
sacce:4781	K00602
sacce:3716	K00511
sacce:3063	K00231
sacce:3316	K09658
sacce:986	K13939
sacce:3756	K05285
sacce:2354	K00412
sacce:5461	K04718
sacce:2095	K00856
sacce:3720	K01656
sacce:1157	K00600
sacce:6438	K03012
sacce:1430	K01610
sacce:422	K01078
sacce:4264	K00861
sacce:5550	K05917
sacce:4142	K01807
sacce:2159	K01519
sacce:5022	K01230
sacce:3039	K14152
sacce:1599	K01092
sacce:467	K00297
sacce:3436	K01597
sacce:4112	K19785
sacce:5809	K01591
sacce:980	K01490
sacce:1302	K05287
sacce:1267	K02257
sacce:2126	K00849
sacce:1367	K00288
sacce:5112	K02146
sacce:2188	K00888
sacce:393	K03847
sacce:218	K00863
sacce:5302	K02142
sacce:1355	K00728
sacce:6533	K02135
sacce:2603	K03022
sacce:5044	K01626
sacce:2043	K00902
sacce:5864	K00601
sacce:181	K00967
sacce:5661	K00615
sacce:757	K15634
sacce:356	K01958
sacce:4766	K08967
sacce:458	K17497
sacce:6397	K00948
sacce:6219	K01483
sacce:4636	K00286
sacce:6038	K05532
sacce:3015	K00026
sacce:6631	K14655
sacce:5574	K00759
sacce:1004	K11002
sacce:232	K05275
sacce:1972	K07512
sacce:6070	K01950
sacce:909	K02272
sacce:2323	K00380
sacce:2657	K01092
sacce:4580	K01647
sacce:4204	K00295
sacce:6340	K00223
sacce:6085	K05292
sacce:1024	K01693
sacce:6675	K18278
sacce:2273	K01054
sacce:5032	K20279
sacce:6596	K00088
sacce:6253	K01624
sacce:2189	K06123
sacce:6210	K13507
sacce:4482	K01681
sacce:4468	K00390
sacce:2883	K02265
sacce:4837	K03005
sacce:3902	K02320
sacce:6005	K02149
sacce:2387	K01739
sacce:5847	K00728
sacce:2987	K02304
sacce:3617	K01937
sacce:6362	K07441
sacce:2385	K01194
sacce:434	K00761
sacce:4845	K01817
sacce:4747	K13711
sacce:3744	K09880
sacce:1444	K02144
sacce:6488	K00993
sacce:2139	K01702
sacce:1442	K01466
sacce:5737	K00767
sacce:6628	K01852
sacce:1203	K00764
sacce:3195	K00008
sacce:5655	K01749
sacce:2843	K01082
sacce:5290	K00412
sacce:5745	K00237
sacce:1890	K01079
sacce:5940	K09831
sacce:95	K20457
sacce:1400	K00228
sacce:5237	K03000
sacce:2051	K01850
sacce:1428	K00033
sacce:3962	K02328
sacce:3667	K02327
sacce:4265	K01196
sacce:4284	K00763
sacce:508	K01011
sacce:5064	K01835
sacce:3376	K00031
sacce:2676	K01194
sacce:3738	K00288
sacce:784	K03661
sacce:1021	K00030
sacce:4860	K07513
sacce:5104	K00088
sacce:5093	K08738
sacce:3363	K03426
sacce:2308	K16794
sacce:6248	K01653
sacce:1896	K14454
sacce:2713	K02148
sacce:1066	K01115
sacce:4263	K03506
sacce:1165	K00058
sacce:856	K20279
sacce:4477	K00164
sacce:5184	K00264
sacce:1380	K04718
sacce:4593	K01657
sacce:3640	K00620
sacce:5992	K16368
sacce:1939	K05288
sacce:1910	K02127
sacce:3167	K01230
sacce:2367	K05824
sacce:2244	K00415
sacce:6424	K01424
sacce:4889	K01106
sacce:5639	K12667
sacce:1340	K12668
sacce:5291	K01760
sacce:633	K08964
sacce:1915	K00948
sacce:5993	K02433
sacce:541	K20279
sacce:2450	K03842
sacce:4613	K01580
sacce:2153	K01078
sacce:3169	K00859
sacce:3245	K09680
sacce:5971	K03858
sacce:4952	K03019
sacce:4381	K00762
sacce:3473	K17069
sacce:1289	K00854
sacce:1385	K01756
sacce:2331	K01182
sacce:1566	K01897
sacce:4347	K01940
sacce:2073	K00873
sacce:1320	K11121
sacce:3136	K13519
sacce:6224	K00411
sacce:3940	K00814
sacce:879	K00589
sacce:3462	K03845
sacce:3336	K15918
sacce:5248	K00626
sacce:3046	K01689
sacce:5556	K02133
sacce:3227	K01068
sacce:6201	K03186
sacce:3849	K01497
sacce:1115	K00772
sacce:3696	K00818
sacce:3724	K00972
sacce:2920	K01922
sacce:4418	K01698
sacce:1277	K00668
sacce:2506	K03003
sacce:470	K00616
sacce:3022	K00053
sacce:1293	K01057
sacce:4569	K01783
sacce:5768	K00413
sacce:6055	K00262
sacce:1879	K03843
sacce:3240	K00129
sacce:5752	K00869
sacce:400	K00931
sacce:3406	K00750
sacce:2068	K01834
sacce:827	K01637
sacce:4438	K00981
sacce:5537	K01184
sacce:2637	K01613
sacce:1917	K00134
sacce:4346	K01057
sacce:1963	K00688
sacce:4808	K01937
sacce:5866	K04713
sacce:3835	K11121
sacce:174	K03023
sacce:170	K14541
sacce:4310	K00958
sacce:164	K00059
sacce:5137	K01182
sacce:4111	K16369
sacce:3318	K05534
sacce:2031	K00235
sacce:4817	K00088
sacce:6162	K00416
sacce:4581	K02324
sacce:6511	K00872
sacce:567	K00143
sacce:1977	K10524
sacce:5273	K02145
sacce:985	K16055
sacce:2542	K01760
sacce:2415	K17103
sacce:1243	K00868
sacce:1912	K19836
sacce:3237	K01655
sacce:4365	K16055
sacce:4846	K01655
sacce:4563	K01836
sacce:4947	K13953
sacce:1548	K06117
sacce:414	K01886
sacce:3562	K05284
sacce:4368	K05538
sacce:4955	K00860
sacce:2221	K00765
sacce:1541	K13509
sacce:5229	K10808
sacce:4797	K00863
sacce:3323	K02326
sacce:1150	K10251
sacce:6028	K00616
sacce:5852	K01955

### 01110	Biosynthesis of secondary metabolites
sacce:6454	K14817
sacce:5132	K10246
sacce:1632	K01652
sacce:5053	K01835
sacce:1006	K00547
sacce:2773	K00844
sacce:6090	K10703
sacce:136	K00147
sacce:5068	K19177
sacce:142	K00021
sacce:2405	K01476
sacce:4018	K11778
sacce:3324	K01772
sacce:6688	K01810
sacce:967	K00787
sacce:1760	K01739
sacce:4731	K00817
sacce:727	K17989
sacce:6077	K01809
sacce:2867	K00128
sacce:5323	K00605
sacce:4171	K00939
sacce:4309	K00618
sacce:5911	K03783
sacce:2587	K01663
sacce:2460	K00021
sacce:1870	K00382
sacce:3947	K04486
sacce:6273	K01739
sacce:3922	K00844
sacce:2304	K01057
sacce:6177	K01638
sacce:4314	K00077
sacce:3608	K01895
sacce:661	K00128
sacce:3574	K00290
sacce:5788	K01792
sacce:5411	K06125
sacce:401	K01057
sacce:4901	K00611
sacce:2973	K00844
sacce:5522	K00236
sacce:2338	K01952
sacce:1270	K13953
sacce:4533	K00850
sacce:4399	K01689
sacce:2239	K00844
sacce:5020	K01638
sacce:6258	K00033
sacce:5503	K01613
sacce:4728	K01647
sacce:1853	K00804
sacce:165	K01626
sacce:4619	K13953
sacce:1878	K00873
sacce:5483	K00236
sacce:5593	K00606
sacce:345	K00128
sacce:5430	K13954
sacce:2130	K00939
sacce:1919	K00026
sacce:3141	K00030
sacce:1346	K01689
sacce:4428	K00003
sacce:5282	K00134
sacce:2732	K01834
sacce:3775	K00547
sacce:4373	K11788
sacce:5082	K00162
sacce:698	K00031
sacce:6203	K01568
sacce:5849	K00052
sacce:2769	K01738
sacce:2947	K00134
sacce:6352	K01647
sacce:3389	K04518
sacce:3175	K05355
sacce:2575	K00559
sacce:3990	K00591
sacce:4676	K00794
sacce:1228	K00382
sacce:4052	K00211
sacce:2870	K01689
sacce:5611	K00940
sacce:4425	K00031
sacce:3839	K00002
sacce:3935	K00281
sacce:4836	K11262
sacce:2954	K01733
sacce:5989	K01823
sacce:1182	K00121
sacce:724	K00948
sacce:3747	K01687
sacce:795	K00938
sacce:5959	K01754
sacce:2848	K01895
sacce:638	K03781
sacce:1167	K00658
sacce:5038	K18532
sacce:6118	K00550
sacce:5328	K01803
sacce:770	K00036
sacce:5462	K11808
sacce:6535	K00766
sacce:1051	K14455
sacce:6034	K00006
sacce:70	K00928
sacce:4238	K01953
sacce:609	K00222
sacce:6610	K00789
sacce:6040	K01885
sacce:3963	K01568
sacce:5065	K01679
sacce:153	K11262
sacce:3396	K01424
sacce:66	K00850
sacce:138	K00791
sacce:772	K00700
sacce:5440	K00953
sacce:330	K00793
sacce:751	K01899
sacce:4606	K01581
sacce:1159	K00602
sacce:4489	K00844
sacce:3489	K10245
sacce:6042	K01641
sacce:4326	K11778
sacce:6165	K00232
sacce:2832	K00948
sacce:2381	K01061
sacce:1409	K00161
sacce:3177	K01736
sacce:2135	K05821
sacce:3896	K01835
sacce:495	K00600
sacce:573	K06134
sacce:1891	K00234
sacce:3571	K03841
sacce:2697	K00927
sacce:389	K01649
sacce:5568	K00133
sacce:3404	K00627
sacce:1094	K00789
sacce:1107	K00615
sacce:807	K02437
sacce:1327	K01814
sacce:6008	K15728
sacce:5908	K02858
sacce:1929	K01620
sacce:6583	K13507
sacce:3258	K00851
sacce:3311	K00826
sacce:5235	K01719
sacce:5844	K00111
sacce:5155	K01649
sacce:4353	K00826
sacce:896	K00801
sacce:458	K17497
sacce:6397	K00948
sacce:4636	K00286
sacce:3015	K00026
sacce:5864	K00601
sacce:757	K15634
sacce:5661	K00615
sacce:5044	K01626
sacce:666	K10258
sacce:3436	K01597
sacce:980	K01490
sacce:1267	K02257
sacce:4264	K00861
sacce:5550	K05917
sacce:4142	K01807
sacce:3039	K14152
sacce:3720	K01656
sacce:1157	K00600
sacce:305	K03781
sacce:1430	K01610
sacce:1595	K01568
sacce:4781	K00602
sacce:3716	K00511
sacce:3063	K00231
sacce:103	K00643
sacce:2844	K00549
sacce:1898	K01885
sacce:4958	K13953
sacce:2763	K00129
sacce:783	K00026
sacce:1905	K01755
sacce:4401	K01918
sacce:6323	K12659
sacce:5557	K01923
sacce:2297	K00128
sacce:1144	K01599
sacce:4740	K02259
sacce:4054	K01694
sacce:1748	K00966
sacce:5827	K00234
sacce:338	K01568
sacce:1690	K00318
sacce:5445	K01637
sacce:4084	K00227
sacce:615	K00838
sacce:6095	K00237
sacce:1103	K00002
sacce:4788	K00830
sacce:3145	K00293
sacce:2577	K14674
sacce:3351	K06126
sacce:2492	K00006
sacce:3800	K06127
sacce:4945	K00819
sacce:2668	K00948
sacce:2930	K13830
sacce:2808	K01953
sacce:1582	K15634
sacce:5540	K01834
sacce:1596	K01900
sacce:470	K00616
sacce:3022	K00053
sacce:1293	K01057
sacce:4569	K01783
sacce:3849	K01497
sacce:3696	K00818
sacce:4418	K01698
sacce:3046	K01689
sacce:3227	K01068
sacce:6201	K03186
sacce:2073	K00873
sacce:3136	K13519
sacce:879	K00589
sacce:3336	K15918
sacce:5248	K00626
sacce:4347	K01940
sacce:3473	K17069
sacce:1385	K01756
sacce:1915	K00948
sacce:2950	K10245
sacce:4613	K01580
sacce:5291	K01760
sacce:2221	K00765
sacce:1541	K13509
sacce:1150	K10251
sacce:6028	K00616
sacce:4947	K13953
sacce:1912	K19836
sacce:2415	K17103
sacce:4817	K00088
sacce:6511	K00872
sacce:567	K00143
sacce:2542	K01760
sacce:4111	K16369
sacce:2031	K00235
sacce:4438	K00981
sacce:2637	K01613
sacce:1917	K00134
sacce:4346	K01057
sacce:1963	K00688
sacce:3240	K00129
sacce:5752	K00869
sacce:2068	K01834
sacce:827	K01637
sacce:5745	K00237
sacce:1400	K00228
sacce:6628	K01852
sacce:1203	K00764
sacce:5655	K01749
sacce:4845	K01817
sacce:2139	K01702
sacce:6488	K00993
sacce:2987	K02304
sacce:2387	K01739
sacce:1024	K01693
sacce:6596	K00088
sacce:6253	K01624
sacce:4482	K01681
sacce:6210	K13507
sacce:473	K18693
sacce:4580	K01647
sacce:6424	K01424
sacce:5992	K16368
sacce:4593	K01657
sacce:3640	K00620
sacce:4477	K00164
sacce:5184	K00264
sacce:6248	K01653
sacce:1896	K14454
sacce:1066	K01115
sacce:1021	K00030
sacce:4860	K07513
sacce:5104	K00088
sacce:5064	K01835
sacce:3376	K00031
sacce:2051	K01850
sacce:1428	K00033
sacce:4265	K01196

### 01120	Microbial metabolism in diverse environments
sacce:66	K00850
sacce:5065	K01679
sacce:2381	K01061
sacce:2832	K00948
sacce:4489	K00844
sacce:5636	K00297
sacce:751	K01899
sacce:495	K00600
sacce:3896	K01835
sacce:1409	K00161
sacce:3404	K00627
sacce:5568	K00133
sacce:2697	K00927
sacce:3571	K03841
sacce:1891	K00234
sacce:1228	K00382
sacce:6470	K08738
sacce:2947	K00134
sacce:6352	K01647
sacce:2769	K01738
sacce:6582	K00135
sacce:698	K00031
sacce:3839	K00002
sacce:4425	K00031
sacce:2870	K01689
sacce:1167	K00658
sacce:2848	K01895
sacce:263	K00831
sacce:724	K00948
sacce:2954	K01733
sacce:3554	K00058
sacce:1182	K00121
sacce:5004	K01477
sacce:6040	K01885
sacce:70	K00928
sacce:1051	K14455
sacce:770	K00036
sacce:5328	K01803
sacce:5788	K01792
sacce:5939	K01915
sacce:661	K00128
sacce:3608	K01895
sacce:6177	K01638
sacce:2304	K01057
sacce:3922	K00844
sacce:2239	K00844
sacce:5020	K01638
sacce:4399	K01689
sacce:23	K17450
sacce:4533	K00850
sacce:1270	K13953
sacce:2973	K00844
sacce:5522	K00236
sacce:401	K01057
sacce:345	K00128
sacce:5483	K00236
sacce:1878	K00873
sacce:6053	K01705
sacce:4619	K13953
sacce:4728	K01647
sacce:6258	K00033
sacce:5082	K00162
sacce:2732	K01834
sacce:5282	K00134
sacce:4428	K00003
sacce:1346	K01689
sacce:1919	K00026
sacce:3141	K00030
sacce:5430	K13954
sacce:4454	K01070
sacce:2773	K00844
sacce:5053	K01835
sacce:2867	K00128
sacce:6688	K01810
sacce:493	K13524
sacce:4042	K01958
sacce:1870	K00382
sacce:2987	K02304
sacce:1442	K01466
sacce:5655	K01749
sacce:2843	K01082
sacce:5745	K00237
sacce:1890	K01079
sacce:232	K05275
sacce:5863	K06035
sacce:2323	K00380
sacce:4580	K01647
sacce:4482	K01681
sacce:6253	K01624
sacce:4468	K00390
sacce:5184	K00264
sacce:4477	K00164
sacce:1165	K00058
sacce:2367	K05824
sacce:508	K01011
sacce:1428	K00033
sacce:3376	K00031
sacce:5064	K01835
sacce:5093	K08738
sacce:1021	K00030
sacce:352	K00493
sacce:4628	K01426
sacce:1896	K14454
sacce:879	K00589
sacce:5248	K00626
sacce:3940	K00814
sacce:2073	K00873
sacce:6201	K03186
sacce:3046	K01689
sacce:4418	K01698
sacce:1293	K01057
sacce:4569	K01783
sacce:470	K00616
sacce:4613	K01580
sacce:1915	K00948
sacce:3473	K17069
sacce:4846	K01655
sacce:3237	K01655
sacce:4955	K00860
sacce:4947	K13953
sacce:6028	K00616
sacce:4797	K00863
sacce:827	K01637
sacce:2068	K01834
sacce:3240	K00129
sacce:4346	K01057
sacce:1917	K00134
sacce:2031	K00235
sacce:4310	K00958
sacce:170	K14541
sacce:6511	K00872
sacce:783	K00026
sacce:2763	K00129
sacce:4958	K13953
sacce:1898	K01885
sacce:2297	K00128
sacce:4788	K00830
sacce:1103	K00002
sacce:6095	K00237
sacce:5445	K01637
sacce:5827	K00234
sacce:1596	K01900
sacce:5540	K01834
sacce:1582	K15634
sacce:2668	K00948
sacce:1929	K01620
sacce:1107	K00615
sacce:3236	K00381
sacce:934	K00275
sacce:456	K00122
sacce:5235	K01719
sacce:719	K00814
sacce:3258	K00851
sacce:218	K00863
sacce:6306	K01101
sacce:356	K01958
sacce:757	K15634
sacce:5661	K00615
sacce:3015	K00026
sacce:6397	K00948
sacce:1430	K01610
sacce:1157	K00600
sacce:4142	K01807
sacce:467	K00297

### 01200	Carbon metabolism
sacce:827	K01637
sacce:2068	K01834
sacce:4346	K01057
sacce:1917	K00134
sacce:2031	K00235
sacce:6028	K00616
sacce:4797	K00863
sacce:1915	K00948
sacce:3473	K17069
sacce:3336	K15918
sacce:5248	K00626
sacce:3940	K00814
sacce:2073	K00873
sacce:3046	K01689
sacce:1293	K01057
sacce:4569	K01783
sacce:470	K00616
sacce:1428	K00033
sacce:3376	K00031
sacce:1021	K00030
sacce:1896	K14454
sacce:4477	K00164
sacce:1165	K00058
sacce:4580	K01647
sacce:6253	K01624
sacce:4482	K01681
sacce:5745	K00237
sacce:1890	K01079
sacce:1430	K01610
sacce:1157	K00600
sacce:305	K03781
sacce:4142	K01807
sacce:467	K00297
sacce:218	K00863
sacce:356	K01958
sacce:5661	K00615
sacce:757	K15634
sacce:3015	K00026
sacce:6397	K00948
sacce:719	K00814
sacce:3258	K00851
sacce:807	K02437
sacce:1107	K00615
sacce:456	K00122
sacce:1596	K01900
sacce:5540	K01834
sacce:1582	K15634
sacce:2668	K00948
sacce:4788	K00830
sacce:6095	K00237
sacce:5445	K01637
sacce:5827	K00234
sacce:783	K00026
sacce:1051	K14455
sacce:770	K00036
sacce:5328	K01803
sacce:1167	K00658
sacce:638	K03781
sacce:5959	K01754
sacce:2848	K01895
sacce:724	K00948
sacce:263	K00831
sacce:3554	K00058
sacce:1182	K00121
sacce:3935	K00281
sacce:4425	K00031
sacce:2870	K01689
sacce:1228	K00382
sacce:2947	K00134
sacce:6352	K01647
sacce:2769	K01738
sacce:698	K00031
sacce:4290	K05605
sacce:3404	K00627
sacce:2697	K00927
sacce:3571	K03841
sacce:1891	K00234
sacce:495	K00600
sacce:1409	K00161
sacce:2832	K00948
sacce:4489	K00844
sacce:751	K01899
sacce:5636	K00297
sacce:66	K00850
sacce:5065	K01679
sacce:4042	K01958
sacce:1870	K00382
sacce:5323	K00605
sacce:2122	K00027
sacce:727	K17989
sacce:6688	K01810
sacce:4454	K01070
sacce:2773	K00844
sacce:5082	K00162
sacce:5282	K00134
sacce:2732	K01834
sacce:1346	K01689
sacce:1919	K00026
sacce:3141	K00030
sacce:5483	K00236
sacce:1878	K00873
sacce:4728	K01647
sacce:6258	K00033
sacce:2239	K00844
sacce:5020	K01638
sacce:4399	K01689
sacce:4533	K00850
sacce:5522	K00236
